Time (GMT-04:00),Transverse accel - peaks,Longitudinal accel - peaks,Heat flux - average,Skin temp - average,Transverse accel - average,Longitudinal accel - average,Near-body temp - average,Transverse accel - MAD,Longitudinal accel - MAD,Step Counter,GSR - average,Lying down,Sleep,Physical Activity,Energy expenditure,Sedentary,Moderate,Vigorous,Very Vigorous,METS
39015.0,6.0,2.0,91.6385879517,31.5768737793,-0.867775559425,0.292844295502,31.2498264313,0.0824489817023,0.0669342577457,0.0,0.0659427642822,0.0,0.0,0.0,1.5392459631,1.0,0.0,0.0,0.0,1.16346943378
39015.0006944,37.0,16.0,91.9651107788,31.5987281799,-0.888387799263,0.305394470692,31.2715835571,0.131918370724,0.0836678221822,0.0,0.0652099698782,0.0,0.0,0.0,1.53068935871,1.0,0.0,0.0,0.0,1.15700173378
39015.0013889,0.0,0.0,91.095741272,31.5987281799,-0.900755107403,0.317944645882,31.2498264313,0.0659591853619,0.0502006933093,0.0,0.0644771754742,0.0,0.0,0.0,1.50043535233,1.0,0.0,0.0,0.0,1.13413357735
39015.0020833,22.0,8.0,90.5161437988,31.5987281799,-0.896632671356,0.322128027678,31.2498264313,0.0989387780428,0.0669342577457,0.0,0.0644771754742,0.0,0.0,0.0,1.49559497833,1.0,0.0,0.0,0.0,1.13047492504
39015.0027778,3.0,0.0,90.226348877,31.5987281799,-0.896632671356,0.322128027678,31.2715835571,0.0824489817023,0.0502006933093,0.0,0.0644771754742,0.0,0.0,0.0,1.48320651054,1.0,0.0,0.0,0.0,1.12111079693
39015.0034722,1.0,1.0,89.9365463257,31.5987281799,-0.89251023531,0.322128027678,31.2715835571,0.0824489817023,0.0502006933093,0.0,0.0644771754742,0.0,0.0,0.0,1.474640131,1.0,0.0,0.0,0.0,1.11463582516
39015.0041667,0.0,0.0,90.2627563477,31.6205883026,-0.89251023531,0.326311439276,31.2715835571,0.0659591853619,0.0669342577457,0.0,0.0644771754742,0.0,0.0,0.0,1.48578238487,1.0,0.0,0.0,0.0,1.12305784225
39015.0048611,1.0,0.0,91.4591064453,31.6424560547,-0.89251023531,0.326311439276,31.2933502197,0.0824489817023,0.0502006933093,0.0,0.0644771754742,0.0,0.0,0.0,1.48128795624,1.0,0.0,0.0,0.0,1.11966061592
39015.0055556,0.0,0.0,91.7860794067,31.6643295288,-0.89251023531,0.326311439276,31.315120697,0.0659591853619,0.0334671288729,0.0,0.0652099698782,0.0,0.0,0.0,1.45647442341,1.0,0.0,0.0,0.0,1.10090482235
39015.00625,4.0,1.0,91.4960327148,31.6643295288,-0.89251023531,0.326311439276,31.3368988037,0.0494693890214,0.0502006933093,0.0,0.0652099698782,0.0,0.0,0.0,1.45639908314,1.0,0.0,0.0,0.0,1.10084795952
